Filename,Transcript
d1195-T1141,dort ist der roten und dann dann
d1195-T1142,wie ist dann ausführende wo einen befehl bekommt
d1195-T1143,wir sind sind nie voll gewesen kommt darauf ab
d1195-T1144,das boot wahr voll ja
d1195-T1145,man hat ja juden inhingelassen man hat ja juden inhingelassen aber alle hat man in gottes namen nicht können
d1195-T1147,gut obendurchhin ist möglich dass es gewusst haben
d1195-T1148,bin ich der intensiv dabei gewesen ländlermusik hat man gefallen
d1195-T1149,und dort
d1195-T115,und man hat eigentlich nur gewusst dass er dass er dass er jetzt so genannte
d1195-T1150,sind doucher abhin haben einen nicht mehr gefunden der hat ihn unten innen geschwämt
d1195-T1151,hat hat es wäre der stimmereizehnkrampf gel gelöst aber das hat er natürlich nicht gewusst
d1195-T1152,und denen und ich habe nachhther mit einem arzt geredet hat er gesagt wenn er nur gehauestet hat
d1195-T1153,und das hat es vom ufer aus haben sie gehört dass er holhah
d1195-T1154,zusammen und dann haben sie wie weniger gebraucht und dann ist der auch
d1195-T1155,wenn einen arbeitslos wird dass er sagt ich will im beruf weiterschaffen he
d1195-T1156,ein kratten bei einer heitragen das ist alles gewesen wo ich gehabt habe wo ich den ganzen tag geschafft habe
d1195-T1157,er hat man eine leiteren angestellt und das ist wirklich ein ein ein ganz eine gefährliche keiben sache gewesen
d1195-T1158,und ich habe mich natürlich immer gelugt ein klein
d1195-T1159,mobiliar versicherung fast nichts gehabt wir haben also
d1195-T116,einparteiensystem
d1195-T1160,und das hätten nie gemacht und und darum haben wir der
d1195-T1161,klein höhere aufhin tun du weisst wir sind jetzt in einem holzhaus darinnen da
d1195-T1162,man solltet unsere mobiliarversicherung auch
d1195-T1163,zu der mutter gesagt gehabt die mutter hat mir das immer verzählt
d1195-T1164,etwa ein zwei jahre voranen oder ein jahre voranen
d1195-T1165,der vater hat noch vorennen
d1195-T1166,also für uns ist es auch schwere zeit gewesen der vater hat
d1195-T1167,habe ich da müssen über das
d1195-T1168,posten wollen wo er nicht übergekommen hat oder weiss ich weiss es also nicht
d1195-T1169,und eine kalt winter haben wir dort erlebt im kloster sind wir einquartiert gewesen und dann
d1195-T117,aufgebaut
d1195-T1170,ist verbittert gewesen entweder hat er ein posten
d1195-T1171,in das aber wahrscheinlich hat er
d1195-T1172,ja wahrscheinlich ist er ein bisslein zurück versetzt worden vermute ich
d1195-T1174,ist aber wir haben immer beicht von beicht geredet
d1195-T1175,am sempackersee uner hat müssen gan suchen sampatersee ist übrigens ganz nahe gewesen
d1195-T1176,ginge heute wahrscheinlich auch nicht mehr aber dazumal ist hat man da nichts gewusst von so gewasserverschmutzung
d1195-T1177,und geführt ist worden durch den ofen
d1195-T1178,sechs gewaschen in einem kübel inner he kann man sich ja vorstellen wie das etwa zugegangen ist
d1195-T1179,petrolfunzel das wasser haben wir müssen im holen im brunnen aussen gan holen
d1195-T118,von dem hat man etwas gewusst und
d1195-T1180,von der genommen neuen genossenschaft mit elektrisch und wasser und als im haus ein
d1195-T1181,übernachten
d1195-T1182,im winter eine zollstation eine bäckerei und was noch was und
d1195-T1183,bis dann vater ja ist schon ein klein über sechzig gewesen ist er
d1195-T1184,ist neumen angezündet im rausch innen angezündet worden dann ist ist klein verbittert gewesen über die genossenschaft
d1195-T1185,und dort habe ich die erste weihnacht gefeiert
d1195-T1186,da sind wir auf neuenkiuch aufhin kommen und dort haben wir eine wohnung übergekommen in der ruten
d1195-T1187,im winter haben wir dann natürlich müssen eine
d1195-T1188,bauernhof wo so einen most so eine mosterei gehabt hat nebenzu hat er obenfüür ein klein zügen ein klein eingerichtet
d1195-T1189,so in einem bei einem bauern
d1195-T119,man ist ein
d1195-T1190,wo die genossenschaft abhingebrannten ist und von dort
d1195-T1191,dort haben wir auch noch einer mitgemacht donnerwetter das gesehen ich heute noch als kleine buben ich bin
d1195-T1192,anno neunzehnhunderunddreissig
d1195-T1193,und nach den ferien bin ich allweg wieder dort aufhin
d1195-T1194,noch einen bruder wo daheim gewesen ist die anderen sind alle ausgeflogen gewesen die sind in sampat gewesen
d1195-T1195,ferien da habe ich noch die mutter gehabt
d1195-T1196,und dann wir sie nicht müde dabei das ist wahr wir haben eine gute beziehung gehabt
d1195-T1197,hat er allmal gesagt ja nume ganz langsam du musst nicht springen du musst ganz langsam laufen
d1195-T1198,wenn ich dann nicht so gut habe können springen aber
d1195-T1199,ausflüüg gemacht
d1195-T12,noch fünf geschwister gekommen
d1195-T120,man ist ein klein kritisch gewesen man hat gesagt der ist ich kann echt das gut aushingekommen oder nicht
d1195-T1200,will überhaut nicht negatives sagen ich
d1195-T1201,sport ein klein sport getrieben
d1195-T1202,dann hat man dann doktor gesagt also ich müssen abhin
d1195-T1203,mission und nicht mission und dann aber ich habe
d1195-T1204,und für uns ist das ein idol gewesen dann
d1195-T1205,das ist eine neuerung gewesen die kz das hat man früher gar nicht gekannt also
d1195-T1206,er entdecktiert worden da von so an so ländereien annektieren und zeug und sachen
d1195-T1207,man hat gewusst das ist von dem hitler hat man gewusst der
d1195-T1208,der krieg ist ja da noch nicht ausgebrochen dann krieg ist erst ausgebrochen
d1195-T1209,und dann radio haben wir auch nicht gekannt also wir studenten haben überhaupt nichts gewusst von dem wir haben
d1195-T121,aber immerhin er hat
d1195-T1210,es hat nur radio geben
d1195-T1211,im zugestanden ist ich habe ja das andere immer ja noch nie gewusst
d1195-T1212,da muss man einfall da muss man wisse das tut man vielleicht heute auch ein klein zu wenig
d1195-T1213,man hat ja das gar nicht wir haben ja der gar nicht gekannt der hitler der das ist für uns e
d1195-T1214,das ist ganz anfangs den die zweiunddreissig einunddreissig zweiunddreissig gewesen
d1195-T1215,berurteilen ob was für leute dass ich anstellen und das haben sie man natürlich nicht
d1195-T1216,ich hat auch chefposten können haben
d1195-T1217,dann haben sie mir gesagt ja sie stellen mich an
d1195-T1218,dort habe ich schön gut abgeschnitten
d1195-T1219,zu hohen blutdruck gehabt was ich heute noch habe dann hat man dann doktor gesagt also für sie ist das nichts da oben
d1195-T122,einer lugen für die für die leute dass sie arbeit haben und das ist schon ein plus gewesen wo man dem wo mandem
d1195-T1220,habe auch mal müssen aussetzen das hat man ja
d1195-T1221,und bei der älteste gewesen von einer
d1195-T1222,können sie ihren werdegang verzählen ihre kindheit und jugend
d1195-T1223,also jetzt die kamera läuft jetzt
d1195-T1225,jetzt muss ein
d1195-T1227,sehe schon bedingt dass man ein bisslein anpassungsfähig
d1195-T123,das muss man auch wissen heute dass er das hat
d1195-T124,aber eben man hat schon gewusst
d1195-T125,ja er lugt dass es arbeit gibt ist das von der zeitungen dann
d1195-T127,und fernsehen haben wir auch fernsehen hat es noch nicht geben
d1195-T128,man hat gar nichts gar nichts gewusst also
d1195-T129,also in wartestein
d1195-T13,sie sind der älteste
d1195-T130,zu wertesten haben wir gar nichts gewusst
d1195-T131,und wir haben überhaupt vom
d1195-T132,wo ich schon wieder daheim gewesen bin
d1195-T133,ich bin da daheim gewesen bin da auf luzern
d1195-T134,in die handelsschule und doch kann mir noch gut vorstellen
d1195-T135,bin ich von von trünnigen auf auf der familie hof übergelaufen
d1195-T136,wo wir einen bauer ruft vom feld aus jetzt ist der krieg losgegangen
d1195-T137,doch gottfriedstutz das ist wieder eine schönen
d1195-T138,gottfriedstutz wie ja wie kommt auch das noch aushin
d1195-T139,von der ding hat man noch gar nichts gewusst von der
d1195-T14,bei der älteste ja
d1195-T140,aber von der
d1195-T141,kz von dem zeug hat man nichts gewusst he
d1195-T142,gut man hat gewusst er ist gegen die juden
d1195-T143,er ist gegen die juden was er mit denen juden macht das haben wir nicht
d1195-T144,hat mir nicht so
d1195-T145,also das gewöhnliche volk hat das nicht gewusst
d1195-T146,oder oder
d1195-T147,das hat man gewusst zum teil hat man das gewusst
d1195-T148,oder nicht richtig oder also man kann nicht sagen sie haben etwas
d1195-T149,man hat da man hat es geahnt man hat es nicht einmal geahnt man hat ja das nicht
d1195-T15,und
d1195-T150,im ersten weltkrieg hat man uns hat man nur von dem
d1195-T151,vom gas geredet vom senfgas und von dem zeug
d1195-T152,aber es ist also nicht so dass man
d1195-T153,dass man gewusst hat was da gespielt wird
d1195-T154,sie haben von dem lehrer verzählt wo der hitlergruss
d1195-T155,wie
d1195-T156,sie haben von dem lehrer verzählt wo der hitlergruss in der schule
d1195-T157,gemacht hat hat dann das aus ironie
d1195-T158,was ist er sympathisant gewesen
d1195-T159,der lehrer
d1195-T16,haben die schule durchlaufen die sendet
d1195-T160,ja
d1195-T161,der hat nie verzählt vom hitler der ist nur kommen
d1195-T162,der nein nein der hat also nichts wir haben also nie politisiert in der schule nie
d1195-T163,nie
d1195-T164,er hat also nichts gesagt vom vom hitler wieder
d1195-T165,ernst gemeint hat heil hitler wo er gerufen hat heil hitler und die hand aufgehabt hat
d1195-T166,das weiss ich nicht
d1195-T167,er ist eine eine guten sehr eine guten lehrer gewesen ist allerdings da in der raus
d1195-T168,hat da ist da eingezogen worden später
d1195-T169,und ist in der russischen
d1195-T17,von der ersten bis die sekundarschule
d1195-T170,in russland gefallen
d1195-T171,ist also
d1195-T172,wie ein gesta wiener dazu gestanden ist
d1195-T174,er ist einfach kommen ob er das richtig ob er das
d1195-T175,dass mensch er hat kolosaal
d1195-T176,was er gesagt hat hat er gehalten und und er ist
d1195-T177,ist eine leichen gewesen ist also nicht irgendwie nen
d1195-T178,ist eine leichen gewesen aber hat
d1195-T179,ist wie so so klein
d1195-T18,zweite sekundarschule
d1195-T180,fast ein klein eine preussische
d1195-T181,ist zwar eine beier gewesen
d1195-T182,aber hat fast so einen preussische einen preussischen einschlag gehabt aber
d1195-T183,aber für uns ist er ein idol gewesen
d1195-T184,also wie gesagt für den deutscher ist er so richtig das ist jetzt der mann wo
d1195-T185,heute lugen sie ja auf auf
d1195-T186,auf sportgrössen he die jungen
d1195-T187,siebzehn achtzehn jährig
d1195-T188,ist das so unser
d1195-T19,und nachanter
d1195-T190,aber die
d1195-T191,also wertestein ist ist ein kloster wo
d1195-T192,wie diesen es
d1195-T193,ja das ist von der von der missionsvor ein missionskloster gewesen ein missions
d1195-T194,seminar an und für sich die haben wollen letztlich ausbilden für für die missionen
d1195-T195,und ich haben sowie so gesagt also ich komme nicht
d1195-T196,das ha hat mich eigentlich ich bin eigentlich dort hinteren gegangen das ist nur das gewesen
d1195-T197,habe kein geld gehabt
d1195-T198,und die haben gesagt ich brauche kein geld für das
d1195-T199,und sie haben
d1195-T2,die sempach station
d1195-T20,bin ich auf das gimnium kommen auf zwar auf wertisten
d1195-T200,es hat allerdings
d1195-T201,die erste ja die ersten jahrgang die sind noch ziemlich gut
d1195-T202,sie sind noch ziemlich mit
d1195-T203,geistlichen
d1195-T204,aber dann später ist dann das
d1195-T205,es ist heute schon lange aufgehoben das ist
d1195-T206,sind auf muellen gegangen später und
d1195-T207,und ich bin der ich bin dann schon fort gewesen
d1195-T208,und dann sind sie ja
d1195-T209,auf diesen es zu diesen es gewesen
d1195-T21,und dort habe ich dann noch gleich gemerkt das ist nicht
d1195-T210,zu diesen es und von diesen es habe ich dann eben dann habe ich dann die kommende übergekommen mit dieser höhenluft da
d1195-T211,muss unten müsste unten lugen dass ich könne weiter machen oben haben sie immer gemeint ich könnte schon gehen ich soll doch
d1195-T212,mit medikament aber das ist nicht gegangen das hat man nicht können abesesetzen da
d1195-T213,und dann wie gesagt es ist vielleicht noch ein anderer faktor gewesen
d1195-T214,das ist auch das finanzielle gewesen ich habe ja diesen es nicht ver
d1195-T215,nur dann ett hat man allmal gesagt das ist nicht das wichtigste
d1195-T216,das geld ist uns nicht das wichtigste
d1195-T217,wichtig ist der mann also dort durchhin hätte ich allmal dann schon
d1195-T218,helfe gehabt
d1195-T219,aber wie gesagt also
d1195-T22,das ist nicht das wo ich suchen
d1195-T220,ist dann da auch ein klein zu viel gewesen dort oben wenn man wenn man nicht
d1195-T221,ich habe es dann schon gespüürt dass man nicht mehr nicht mehr so ganz geheuer ist
d1195-T222,wie ist das geistige klima gewesen in den dreissiger jahre in diesen es
d1195-T223,ist sehr gut gewesen sehr gut hat also nicht mit
d1195-T224,sagen wir mit der ding zu tun gehabt mit der mit den deutschen ding hat das nicht
d1195-T225,wir haben überhaupt mit mit den deutschen
d1195-T226,mit dem nazitum haben wir
d1195-T227,das hat uns als studenten gar nicht eben berührt eigentlich man hat da gar nicht
d1195-T228,wir haben auch keine zeitung gelesen man haben
d1195-T229,wir haben unsere aufgaben gehabt
d1195-T23,bin dann noch auf diesentiss
d1195-T230,was wir müssen lehren das ist das wichtigste gewesen es andere hat uns an und für sich nicht so
d1195-T231,ist schon getrieben worden aber nicht so intensiv es ist also
d1195-T232,heute wird mehr sport getrieben auf diesen in denen imnie weder dazumal
d1195-T233,wir haben also nicht so gut wir haben eine bleche musik gehabt dort oben
d1195-T234,schöne zeit gewesen eine schöne zeit
d1195-T235,aber eben
d1195-T236,nein also von der selben zeit könnte ich nicht viel
d1195-T237,man hat einfach gelebt man hat
d1195-T238,habe eine gute kollegen gehabt das wo mein allmal mitgenommen hat in bergen aufhin
d1195-T239,lebt übrigens heute noch der mann
d1195-T24,kolossale schwierigkeiten übergekommen mit dem magen und
d1195-T240,dann sind sie
d1195-T243,kommt mich allmal etwa gan besuchen
d1195-T244,ja ich bin intern gewesen ja
d1195-T245,aber sie haben gleich dann ab und zu urlaub gehabt wo sie zu der familie
d1195-T246,auf sempach sind
d1195-T247,ich habe dann ja noch etwa
d1195-T248,in den ferien her bin bin ich heim gewesen
d1195-T249,was ist ihr vater von beruf
d1195-T25,sie müssen wieder abhin
d1195-T250,mein vater ist magaziner gewesen in der landwirtschaftlichen genossenschaft zu sampach
d1195-T251,hat er auch noch müssen aktivdienst machen dann
d1195-T252,der vater
d1195-T253,ja
d1195-T254,nein der ist der hat auch im ersten weltkrieg
d1195-T255,nicht dienst getan er ist
d1195-T256,er ist mit sechsundsechzig jahren gestorben an eine neunzehnhundertdre dreissig
d1195-T257,er hat allerdings dienst getan ist bei der infanterie gewesen
d1195-T258,und wir haben
d1195-T259,in deren genossenschaft haben wir natürlich
d1195-T26,wegen dem klima
d1195-T260,die ist abebrunnen
d1195-T261,etwa fünfjährige
d1195-T262,vier fünfjährig gewesen
d1195-T263,auf der einen aussen die haben die die
d1195-T264,die träte gesehen ich heute noch rot leuten
d1195-T265,wo sie mich aushintragen haben
d1195-T266,das ist zu nacht gewesen nach mitternacht
d1195-T267,das ist natürlich ein traurige sache gewesen nachhther
d1195-T268,haben wir eine keines he gehabt
d1195-T269,das heisst wir sind dann selbe sommer
d1195-T27,und dann bin ich abhin
d1195-T270,eines ist in einer kaserne gewohnt eine zeit lang dann einer mostrotte
d1195-T271,eine fester wohnsitz haben
d1195-T272,wo ich bewusst gefeiert habe
d1195-T273,und zwar nicht mit einem christbaum sondern mit einem lebkuchen wo der vater gesagt hat in könne so viel essen wie ich weil
d1195-T274,habe so viel gegessen bis ich gehörbelt habe
d1195-T275,und denwegen habe ich dann den lebkuchen nicht mehr gerne gehabt
d1195-T276,heute hat er mich heute kann ihn schon wieder essen
d1195-T277,das habe ich den leimgeblich das habe ich den leitlich getan
d1195-T279,die ist allerdings angezündet worden
d1195-T28,habe gesagt ja gottfriedstutz was mache ich jetzt und dort oben haben sie immer gestürtm ich soll doch bleiben bis zur mathur ahnen
d1195-T281,und nachanter
d1195-T282,hinterhingeheit worden ist
d1195-T283,und dann ist er wieder aufgebaut worden da sind wir wieder dort hin gekommen
d1195-T284,ersetzt worden durch einen anderen durchhin anderen
d1195-T285,magaziner
d1195-T286,hat ihm ein klein weh getan natürlich
d1195-T287,und
d1195-T288,wir sind dann ins seenhäuslein kommen auf
d1195-T289,sampat ist
d1195-T29,der doktor hat gesagt das nützt ihnen nichts sie machen wahrscheinlich die matura können sie überhaupt nicht mehr machen
d1195-T290,gehört zur gemeinde neuenkirch ist das alte zollhaus gewesen von sampach
d1195-T291,und zwei familie gewesen in dem haus innen das ist ziemlich ein grosses haus gewesen
d1195-T292,und einen unterstand wo die leute haben können
d1195-T293,und die formen wo dort vorbei sind haben ihre rösser können einstellen in einem sch in einem stall nebenzuhin
d1195-T294,ist sehr interessantes haus gewesen aber für uns ist es
d1195-T295,für uns ist es es das eldorado gewesen das muss sagen
d1195-T296,aber für
d1195-T297,wir sind ja von
d1195-T298,das haben wir nicht mehr gehabt da unten
d1195-T299,in dem alten haus das ist
d1195-T3,am vierzehnten märz neunzehnhundertvierzehn
d1195-T30,sie verleiten das einfach nicht die holuft da oben
d1195-T300,inhintragen am morgen haben sich
d1195-T301,von der an der der kochherd ist geführt worden von von der küche aus
d1195-T302,und dann ist in der stube innen ist der ofen gewesen und dann ist die petrolfunzel die hat auch noch klein warm geben
d1195-T303,ist wieder eine nichterin
d1195-T304,niedere dinge gewesen ist also ziemlich
d1195-T305,primitiv zugegangen und das wasser haben wir wieder müssen aushin tragen was wie man abgewaschen gehabt hat
d1195-T306,in bach
d1195-T307,da ist ein bach gewesen nebenzuhin
d1195-T308,ist auch nicht ist auch nicht so verschmutzt gewesen es hat immer noch haufen fisch drinnen gelegt
d1195-T309,und das ist für uns ein eldorado gewesen mit bäume und
d1195-T31,und auf das herhin
d1195-T310,hat man die ganze natur gesehen erwachen im frühling und im sommer und im herbst
d1195-T311,und ist wirklich schön gewesen am bach da haben wir müleinreder gebaut und
d1195-T312,das ist wieder eine sturm ist wie uwetter gekommen ist und das maulirad nicht mehr
d1195-T313,etwa hundert schritt
d1195-T314,sind wir gan fischen dort das ist
d1195-T315,ist also wie gesagt für kinder ist es ein eldorado gewesen gut für die eltern
d1195-T316,ist es weniger interessant gewesen
d1195-T317,hauptsächlich hast im winter geführtert
d1195-T318,in ihrem zimmer im elternzimmer hat es dann beicht gehabt das ist doch ganz weiss gewesen
d1195-T319,ganz weiss von von von beicht und
d1195-T32,habe ich dann aufgehört und da hat man dann der der dinge gesagt
d1195-T320,übrigens habe ich das zu wertistei auch erlebt
d1195-T321,jetzt habe ich der begriff nicht verstanden beicht
d1195-T322,beicht das ist
d1195-T323,ich habe es auch nicht gefunden ich käm wörterbuch innen bücht eben wir sagen beicht
d1195-T324,das ist der raureif wo sich an der decke absetzt
d1195-T325,wann wann fuchtigkeit
d1195-T326,ist das ja ganz weiss dem he wir beicht gesagt
d1195-T327,ich weiss also nicht was das für ein wort
d1195-T328,und in wartestei haben er das auch erlebt dort dort haben wir sogar
d1195-T329,im winter das ist der kalte winter gewesen
d1195-T33,und die tante hat man dann gesagt sie zahlen wir es dass ich wenigstens einen abschluss habe
d1195-T330,kalte winter
d1195-T331,etwa im dreissig umhin muss das gewesen sein
d1195-T332,kann es jetzt die jahrenzahl nicht genau sagen es hat dort einige kalte winter geben
